Sentence,Translated Gujarati
Will I have to be on medication for the rest of my life if I do have rheumatoid arthritis?," 'શું મારે રૂમેટોઇડ આર્થ્રાઇટિસ હોય તો, આખી જિંદગી દવા લેવી પડશે?', type='text')]"
I'm worried about using this steroid inhaler long-term for my asthma. Will I get addicted to it? Are there any risks I should be aware of?," 'મને ચિંતા છે કે મારા અસ્થમા માટે આ સ્ટીરોઇડ ઇન્હેલરનો લાંબા ગાળે ઉપયોગ કરવો. શું હું તેના પર આધારિત થઈ જઈશ? શું એવા કોઈ જોખમો છે જેનાથી મને વાકેફ રહેવું જોઈએ?', type='text')]"
"I had trouble falling asleep last night with this uncomfortable hospital bed, but my pain is better controlled today."," 'ગઈ રાત્રે આ અસુવિધાજનક હોસ્પિટલની પથારીમાં મને ઊંઘ આવવામાં તકલીફ પડી હતી, પરંતુ આજે મારી પીડા વધુ સારી રીતે નિયંત્રિત થઈ રહી છે.', type='text')]"
My appetite is starting to return - I actually enjoyed the breakfast this morning.," 'મારી ભૂખ પાછી આવવાનું શરૂ થઈ રહ્યું છે - મેં આજે સવારના નાસ્તાનો ખરેખર આનંદ માણ્યો.', type='text')]"
The headache from my concussion is still pretty intense. When can I expect it to start improving?," 'મારી ઇજાને કારણે થતો માથાનો દુખાવો હજુ પણ ઘણો તીવ્ર છે. હું ક્યારે અપેક્ષા રાખી શકું કે તે સુધરવાનું શરૂ થશે?', type='text')]"
I'm glad to hear my white blood cell count is improving. Does that mean I can go home soon?," 'મારા સફેદ લોહીની ગણતરી સારી છે એ સાંભળીને મને આનંદ થાય છે. શું એનો અર્થ એ થાય કે હું જલદી જ ઘરે જઈ શકું?', type='text')]"
"It's a relief to be up and moving after my hip surgery, even though I'm still pretty sore. The physical therapist has been great."," 'મારી હિપ સર્જરી પછી ઊભા થવું અને હલનચલન કરવી એક રાહત છે, જોકે હું હજી પણ ઘણો દુખી છું. ફિઝિકલ થેરાપિસ્ટ ખૂબ સારા રહ્યા છે.', type='text')]"
I feel like I can breathe a bit easier today. When do you think I'll be off the oxygen?," 'મને લાગે છે કે આજે હું થોડો વધારે સહેલાઈથી શ્વાસ લઈ શકું છું. તમને ક્યારે લાગે છે કે હું ઑક્સિજન પરથી ઉતરી શકીશ?', type='text')]"
I'm a little anxious about the stress test results. What are you looking for with the cardiac catheterization?," 'હું સ્ટ્રેસ ટેસ્ટના પરિણામો વિશે થોડો ચિંતિત છું. કાર્ડિયાક કેથેટરાઇઝેશન દ્વારા તમે શેનું નિદાન કરવા માગો છો?', type='text')]"
My legs don't feel as swollen today - does that mean the change in my diuretic dose is working?," 'મારા પગ આજે એટલા સોજાવાળા લાગતા નથી - શું એનો અર્થ એ થાય કે મારી મૂત્રવર્ધક દવાના ડોઝમાં કરેલો ફેરફાર કામ કરી રહ્યો છે?', type='text')]"
I'm glad my potassium level is back to normal. What do I need to do to prepare for discharge tomorrow?," 'મને આનંદ છે કે મારું પોટેશિયમનું સ્તર ફરીથી સામાન્ય થઈ ગયું છે. આવતીકાલે ડિસ્ચાર્જ માટે તૈયાર થવા મારે શું કરવું પડશે?', type='text')]"
When will I get the biopsy results from my colonoscopy? I'm nervous they found something concerning.," 'હું મારી કોલોનોસ્કોપીના બાયોપ્સીના પરિણામો ક્યારે મેળવીશ? મને ચિંતા છે કે તેમણે કંઈક ચિંતાજનક શોધ્યું હશે.', type='text')]"
Will metoprolol make me feel tired or dizzy? I have to drive for my job.," 'શું મેટોપ્રોલોલ લેવાથી મને થાક લાગશે કે ચક્કર આવશે? મારે મારી નોકરી માટે ગાડી ચલાવવી પડે છે.', type='text')]"
Is there a risk of low blood sugar with metformin? How will I know if that's happening?," 'શું મેટફોર્મિન સાથે લોહીમાં ખાંડનું પ્રમાણ ઓછું થવાનું જોખમ છે? મને કેવી રીતે ખબર પડશે કે તે થઈ રહ્યું છે?', type='text')]"
"Do I need to make any dietary changes while taking atorvastatin, like avoiding grapefruit juice?"," 'શું atorvastatin લેતી વખતે મારે આહારમાં કોઈ ફેરફાર કરવાની જરૂર છે, જેમ કે ગ્રેપફ્રૂટ જ્યુસનું સેવન ટાળવું?', type='text')]"
How long does it typically take for sertraline to start improving mood and anxiety symptoms?," 'The translation ""ડૉ. એસ. એ."" is incorrect and incomplete. Here\'s the correct and conversational translation in Gujarati:\n\nસર્ટ્રાલીન મૂડ અને ચિંતાના લક્ષણોમાં સુધારો લાવવાનું સામાન્ય રીતે કેટલો સમય લે છે?', type='text')]"
"Should I use my albuterol inhaler before exercise to prevent asthma symptoms, or only if I'm already wheezing?"," 'શું હું અસ્થમાના લક્ષણોને રોકવા માટે કસરત કરતા પહેલા મારા અલ્બ્યુટેરોલ ઇન્હેલરનો ઉપયોગ કરવો જોઈએ, અથવા ફક્ત જો હું પહેલેથી જ શ્વાસ લેતો હોઉં તો જ?', type='text')]"
What are the potential side effects of lisinopril? I've heard it can cause a cough.," 'લિસિનોપ્રિલની સંભવિત આડઅસરો શું છે? મેં સાંભળ્યું છે કે તે ઉધરસનું કારણ બની શકે છે.', type='text')]"
Do I need to take any calcium or vitamin D supplements with alendronate for my osteoporosis?," 'શું મારે ઑસ્ટિઓપોરોસિસ માટે ઍલેન્ડ્રોનેટ સાથે કોઈ કૅલ્શિયમ કે વિટામિન ડી સપ્લિમેન્ટ્સ લેવાની જરૂર છે?', type='text')]"
"Will I need to be on levothyroxine long-term for my underactive thyroid, or is this just temporary?"," 'શું મારા અલ્પક્રિય થાઇરોઇડ માટે મારે લાંબા ગાળા સુધી લેવોથાઇરોક્સિન લેવાની જરૂર પડશે, કે પછી આ માત્ર થોડા સમય માટે જ છે?', type='text')]"
Does pantoprazole have any long-term risks if I need to take it indefinitely for my severe GERD symptoms?," 'શું પેન્ટોપ્રાઝોલને લાંબા ગાળાના જોખમો છે જો મારે મારા ગંભીર GERD લક્ષણો માટે અનિશ્ચિત સમય સુધી તેને લેવાની જરૂર પડે તો?', type='text')]"
"Are there any side effects I should watch out for with tamsulosin, like dizziness or fainting?"," 'શું ટામ્સુલોસિન સાથે મને ચક્કર આવવા કે બેભાન થવા જેવી કોઈ આડઅસરો માટે સાવધ રહેવું જોઈએ?', type='text')]"
How long does the coronary angiogram procedure take? Will I be awake for it?," 'કોરોનરી એન્જિયોગ્રામ પ્રક્રિયામાં કેટલો સમય લાગે છે? શું હું તે દરમિયાન જાગૃત રહીશ?', type='text')]"
What are the risks and potential complications of a hysterectomy? Will it trigger menopause?," ""The translation is incorrect and not related to the original English text. Here's the correct Gujarati translation:\n\nહિસ્ટરેક્ટોમીના જોખમો અને સંભવિત જટિલતાઓ શું છે? શું તે રજોનિવૃત્તિને ટ્રિગર કરશે?"", type='text')]"
How long does the hepatitis B vaccine protection last? Will I need boosters in the future?," 'હિપેટાઇટિસ B વેક્સિનથી મળતું રક્ષણ કેટલા સમય સુધી રહે છે? શું ભવિષ્યમાં મારે બૂસ્ટર ડોઝની જરૂર પડશે?', type='text')]"
What's the difference between short-acting and long-acting insulin? How do I know which one I need?," ""original text is What's the difference between short-acting and long-acting insulin? How do I know which one I need?, and the translation is શોર્ટ-એક્ટિંગ અને લોંગ-એક્ટિંગ ઇન્સ્યુલિન વચ્ચે શું તફાવત છે? મને કેવી રીતે ખબર પડે કે મને કયા ઇન્સ્યુલિનની જરૂર છે?"", type='text')]"
Is an echocardiogram painful? How do I need to prepare for it?," 'શું ઇકોકાર્ડિયોગ્રામ દર્દનાક હોય છે? તેના માટે મારે કેવી રીતે તૈયારી કરવી પડશે?', type='text')]"
What are the risks of a colonoscopy? Do I really need to do that bowel prep beforehand?," 'What are the risks of a colonoscopy? Do I really need to do that bowel prep beforehand?\n\nકોલોનોસ્કોપીના જોખમો શું છે? શું મારે ખરેખર પહેલાથી આંતરડાની તૈયારી કરવાની જરૂર છે?', type='text')]"
Can the flu shot give me the flu? I'm worried about feeling sick after getting it.," 'શું ફ્લૂ શોટ મને ફ્લૂ આપી શકે? તેને લીધા પછી બીમાર થવાની મને ચિંતા થાય છે.', type='text')]"
What should I do if I have an asthma attack and my rescue inhaler isn't helping?," 'જો મને અસ્થમાનો હુમલો આવે અને મારી રેસ્ક્યુ ઇન્હેલર મદદ ન કરે તો મારે શું કરવું જોઈએ?', type='text')]"
How many radiation therapy sessions will I likely need for my breast cancer? Are there long-term side effects?," 'કેટલા રેડિએશન થેરપી સેશન્સની મારા બ્રેસ્ટ કેન્સર માટે મને જરૂર પડશે? શું લાંબા ગાળાની આડઅસરો છે?', type='text')]"
Are there any foods I should absolutely avoid with GERD? Is it safe to take antacids long-term?," 'શું GERD સાથે મારે કોઈ ખાસ ખોરાક ટાળવો જોઈએ? શું લાંબા ગાળે એન્ટાસિડ લેવા સલામત છે?', type='text')]"
What should I do if I miss a dose of my antibiotic? Will that reduce its effectiveness?," 'જો હું મારી એન્ટિબાયોટિકનો એક ડોઝ ચૂકી જાઉં તો મારે શું કરવું જોઈએ? શું તેનાથી તેની અસરકારકતા ઘટી જશે?', type='text')]"
How often should I follow up with my doctor after discharge for my high blood pressure?," 'ડિસ્ચાર્જ થયા પછી મારા હાઇ બ્લડ પ્રેશર માટે મારે કેટલી વાર ડૉક્ટરનો સંપર્ક કરવો જોઈએ?', type='text')]"
What signs should I watch out for that my surgical incision isn't healing properly?," 'મારા ઓપરેશનના ઘાને યોગ્ય રીતે રુઝવવામાં ન આવે તો મારે કયા ચિહ્નો પર ધ્યાન આપવું જોઈએ?', type='text')]"
"Can I take my prescribed pain medication with over-the-counter painkillers, or is that dangerous?"," 'શું હું મારી પ્રિસ્ક્રાઇબ કરેલી પેઇનકિલર દવાઓ ઓવર-ધ-કાઉન્ટર પેઇનકિલર સાથે લઈ શકું, કે પછી તે જોખમી છે?', type='text')]"
How often should I use the incentive spirometer throughout the day? Should I bring it to my follow-up appointments?," 'દિવસ દરમિયાન મારે ઇન્સેન્ટિવ સ્પાયરોમીટરનો કેટલી વાર ઉપયોગ કરવો જોઈએ? શું હું તેને મારી ફોલો-અપ એપોઇન્ટમેન્ટ્સ પર લઈ જવું જોઈએ?', type='text')]"
What type of wound dressing should I buy for home use? How will I know if it's getting infected?," 'ઘરેલુ ઉપયોગ માટે મારે કયા પ્રકારની ઘા પટ્ટી ખરીદવી જોઈએ? મને કેવી રીતે ખબર પડશે કે તેમાં ચેપ લાગી રહ્યો છે?', type='text')]"
What foods are high in sodium that I should try to avoid with my heart failure?," 'શોડિયમમાં ઉંચા પ્રમાણમાં કયા ખોરાક છે જેનાથી મારે મારી હાર્ટ ફેલ્યોરની સ્થિતિમાં દૂર રહેવાનો પ્રયાસ કરવો જોઈએ?', type='text')]"
Should I keep a log of my daily blood sugar readings to bring to my next diabetes check-up?," 'શું હું મારી આગામી ડાયાબિટીસ તપાસ માટે લઈ જવા માટે મારા દૈનિક બ્લડ શુગર રીડિંગ્સનો લોગ રાખવો જોઈએ?', type='text')]"
What should I do if I accidentally skip a dose of my antiseizure medication?," 'જો હું અજાણતા મારી એન્ટીસીઝર દવાનો ડોઝ ચૂકી જાઉં તો મારે શું કરવું જોઈએ?', type='text')]"
When can I expect to start physical therapy after my knee replacement? How long will I need to go?," 'મારા ઘૂંટણની સર્જરી પછી હું ક્યારે ફિઝિકલ થેરપી શરૂ કરી શકીશ? મારે કેટલો સમય જવું પડશે?', type='text')]"
